"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","133","Successful get user","API","2026-08-27","passed","2026-08-27","Positive","GET /users{user_id}","",""
"","32","Successful create user","API","2026-08-27","passed","2026-08-27","Positive","POST /users","",""
"","32","Successful create user","API","2026-08-27","passed","2026-08-27","Positive","POST /users","",""
"","67","Successful create user","API","2026-08-27","passed","2026-08-27","Positive","POST /users","",""
"","32","Successful create user","API","2026-08-27","passed","2026-08-27","Positive","POST /users","",""
"","19","Create user with invalid email","API","2026-08-27","passed","2026-08-27","Negative","POST /users","",""
"","17","Create user with invalid email","API","2026-08-27","passed","2026-08-27","Negative","POST /users","",""
"","17","Create user with invalid email","API","2026-08-27","passed","2026-08-27","Negative","POST /users","",""
"","17","Create user with invalid email","API","2026-08-27","passed","2026-08-27","Negative","POST /users","",""
"","56","Get user with invalid user id","API","2026-08-27","passed","2026-08-27","Negative","GET /users{user_id}","",""
"","112","Successful create user","API","2026-08-27","passed","2026-08-27","Positive","POST /users","",""
"","19","Create user with invalid email","API","2026-08-27","passed","2026-08-27","Negative","POST /users","",""
"","18","Create user with invalid email","API","2026-08-27","passed","2026-08-27","Negative","POST /users","",""
