"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","41","Get user with invalid user id","API","2026-09-02","passed","2026-09-02","Negative","GET /users{user_id}","",""
"","28","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","57","Successful create user","API","2026-09-02","passed","2026-09-02","Positive","POST /users","",""
"","37","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","42","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","92","Successful get user","API","2026-09-02","passed","2026-09-02","Positive","GET /users{user_id}","",""
"","165","Successful create user","API","2026-09-02","passed","2026-09-02","Positive","POST /users","",""
"","20","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","79","Successful create user","API","2026-09-02","passed","2026-09-02","Positive","POST /users","",""
"","87","Successful create user","API","2026-09-02","passed","2026-09-02","Positive","POST /users","",""
"","53","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","227","Successful create user","API","2026-09-02","passed","2026-09-02","Positive","POST /users","",""
"","20","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
