"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","64","Successful create user","API","2026-09-02","passed","2026-09-02","Positive","POST /users","",""
"","144","Successful create user","API","2026-09-02","passed","2026-09-02","Positive","POST /users","",""
"","42","Successful create user","API","2026-09-02","passed","2026-09-02","Positive","POST /users","",""
"","151","Successful create user","API","2026-09-02","passed","2026-09-02","Positive","POST /users","",""
"","31","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","28","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","48","Successful create user","API","2026-09-02","passed","2026-09-02","Positive","POST /users","",""
"","75","Get user with invalid user id","API","2026-09-02","passed","2026-09-02","Negative","GET /users{user_id}","",""
"","20","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","18","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","31","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","79","Successful get user","API","2026-09-02","passed","2026-09-02","Positive","GET /users{user_id}","",""
"","51","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
