"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","77","Successful create user","API","2026-09-02","passed","2026-09-02","Positive","POST /users","",""
"","102","Get user with invalid user id","API","2026-09-02","passed","2026-09-02","Negative","GET /users{user_id}","",""
"","149","Successful create user","API","2026-09-02","passed","2026-09-02","Positive","POST /users","",""
"","70","Successful create user","API","2026-09-02","passed","2026-09-02","Positive","POST /users","",""
"","150","Successful get user","API","2026-09-02","passed","2026-09-02","Positive","GET /users{user_id}","",""
"","54","Successful create user","API","2026-09-02","passed","2026-09-02","Positive","POST /users","",""
"","81","Successful create user","API","2026-09-02","passed","2026-09-02","Positive","POST /users","",""
"","29","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","17","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","73","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","22","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","32","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
