"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","67","Get user with invalid user id","API","2026-09-02","passed","2026-09-02","Negative","GET /users{user_id}","",""
"","93","Successful create user","API","2026-09-02","passed","2026-09-02","Positive","POST /users","",""
"","16","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","17","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","194","Successful get user","API","2026-09-02","passed","2026-09-02","Positive","GET /users{user_id}","",""
"","33","Successful create user","API","2026-09-02","passed","2026-09-02","Positive","POST /users","",""
"","37","Successful create user","API","2026-09-02","passed","2026-09-02","Positive","POST /users","",""
"","58","Successful create user","API","2026-09-02","passed","2026-09-02","Positive","POST /users","",""
"","30","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","13","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","14","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","28","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","43","Successful create user","API","2026-09-02","passed","2026-09-02","Positive","POST /users","",""
