"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21","Create user with invalid email","API","2026-09-01","passed","2026-09-01","Negative","POST /users","",""
"","25","Create user with invalid email","API","2026-09-01","passed","2026-09-01","Negative","POST /users","",""
"","34","Get user with invalid user id","API","2026-09-01","passed","2026-09-01","Negative","GET /users{user_id}","",""
"","21","Create user with invalid email","API","2026-09-01","passed","2026-09-01","Negative","POST /users","",""
"","46","Successful create user","API","2026-09-01","passed","2026-09-01","Positive","POST /users","",""
"","27","Create user with invalid email","API","2026-09-01","passed","2026-09-01","Negative","POST /users","",""
"","159","Successful create user","API","2026-09-01","passed","2026-09-01","Positive","POST /users","",""
"","122","Successful create user","API","2026-09-01","passed","2026-09-01","Positive","POST /users","",""
"","26","Create user with invalid email","API","2026-09-01","passed","2026-09-01","Negative","POST /users","",""
"","85","Successful get user","API","2026-09-01","passed","2026-09-01","Positive","GET /users{user_id}","",""
"","43","Successful create user","API","2026-09-01","passed","2026-09-01","Positive","POST /users","",""
"","85","Successful create user","API","2026-09-01","passed","2026-09-01","Positive","POST /users","",""
"","20","Create user with invalid email","API","2026-09-01","passed","2026-09-01","Negative","POST /users","",""
