"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","53","Successful create user","API","2026-08-30","passed","2026-08-30","Positive","POST /users","",""
"","52","Successful create user","API","2026-08-30","passed","2026-08-30","Positive","POST /users","",""
"","9","Create user with invalid email","API","2026-08-30","passed","2026-08-30","Negative","POST /users","",""
"","23","Successful create user","API","2026-08-30","passed","2026-08-30","Positive","POST /users","",""
"","15","Create user with invalid email","API","2026-08-30","passed","2026-08-30","Negative","POST /users","",""
"","16","Get user with invalid user id","API","2026-08-30","passed","2026-08-30","Negative","GET /users{user_id}","",""
"","9","Create user with invalid email","API","2026-08-30","passed","2026-08-30","Negative","POST /users","",""
"","9","Create user with invalid email","API","2026-08-30","passed","2026-08-30","Negative","POST /users","",""
"","25","Successful create user","API","2026-08-30","passed","2026-08-30","Positive","POST /users","",""
"","93","Successful get user","API","2026-08-30","passed","2026-08-30","Positive","GET /users{user_id}","",""
"","19","Successful create user","API","2026-08-30","passed","2026-08-30","Positive","POST /users","",""
"","9","Create user with invalid email","API","2026-08-30","passed","2026-08-30","Negative","POST /users","",""
"","8","Create user with invalid email","API","2026-08-30","passed","2026-08-30","Negative","POST /users","",""
