"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32","Successful create user","API","2026-08-26","passed","2026-08-26","Positive","POST /users","",""
"","31","Successful create user","API","2026-08-26","passed","2026-08-26","Positive","POST /users","",""
"","17","Create user with invalid email","API","2026-08-26","passed","2026-08-26","Negative","POST /users","",""
"","17","Create user with invalid email","API","2026-08-26","passed","2026-08-26","Negative","POST /users","",""
"","18","Create user with invalid email","API","2026-08-26","passed","2026-08-26","Negative","POST /users","",""
"","122","Successful get user","API","2026-08-26","passed","2026-08-26","Positive","GET /users{user_id}","",""
"","17","Create user with invalid email","API","2026-08-26","passed","2026-08-26","Negative","POST /users","",""
"","18","Create user with invalid email","API","2026-08-26","passed","2026-08-26","Negative","POST /users","",""
"","85","Get user with invalid user id","API","2026-08-26","passed","2026-08-26","Negative","GET /users{user_id}","",""
"","66","Successful create user","API","2026-08-26","passed","2026-08-26","Positive","POST /users","",""
"","18","Create user with invalid email","API","2026-08-26","passed","2026-08-26","Negative","POST /users","",""
"","37","Successful create user","API","2026-08-26","passed","2026-08-26","Positive","POST /users","",""
"","67","Successful create user","API","2026-08-26","passed","2026-08-26","Positive","POST /users","",""
