"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","110","Get user with invalid user id","API","2026-09-15","passed","2026-09-15","Negative","GET /users{user_id}","",""
"","30","Create user with invalid email","API","2026-09-15","passed","2026-09-15","Negative","POST /users","",""
"","80","Successful create user","API","2026-09-15","passed","2026-09-15","Positive","POST /users","",""
"","113","Successful create user","API","2026-09-15","passed","2026-09-15","Positive","POST /users","",""
"","21","Create user with invalid email","API","2026-09-15","passed","2026-09-15","Negative","POST /users","",""
"","23","Create user with invalid email","API","2026-09-15","passed","2026-09-15","Negative","POST /users","",""
"","24","Create user with invalid email","API","2026-09-15","passed","2026-09-15","Negative","POST /users","",""
"","81","Successful get user","API","2026-09-15","passed","2026-09-15","Positive","GET /users{user_id}","",""
"","25","Create user with invalid email","API","2026-09-15","passed","2026-09-15","Negative","POST /users","",""
"","89","Successful create user","API","2026-09-15","passed","2026-09-15","Positive","POST /users","",""
"","48","Successful create user","API","2026-09-15","passed","2026-09-15","Positive","POST /users","",""
"","27","Create user with invalid email","API","2026-09-15","passed","2026-09-15","Negative","POST /users","",""
"","42","Successful create user","API","2026-09-15","passed","2026-09-15","Positive","POST /users","",""
