"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","97","Successful get user","API","2026-09-02","passed","2026-09-02","Positive","GET /users{user_id}","",""
"","22","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","80","Successful create user","API","2026-09-02","passed","2026-09-02","Positive","POST /users","",""
"","83","Successful create user","API","2026-09-02","passed","2026-09-02","Positive","POST /users","",""
"","76","Successful create user","API","2026-09-02","passed","2026-09-02","Positive","POST /users","",""
"","22","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","21","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","21","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","38","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","159","Successful create user","API","2026-09-02","passed","2026-09-02","Positive","POST /users","",""
"","193","Get user with invalid user id","API","2026-09-02","passed","2026-09-02","Negative","GET /users{user_id}","",""
"","36","Successful create user","API","2026-09-02","passed","2026-09-02","Positive","POST /users","",""
