"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","20","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","21","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","22","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","78","Get user with invalid user id","API","2026-09-02","passed","2026-09-02","Negative","GET /users{user_id}","",""
"","173","Successful create user","API","2026-09-02","passed","2026-09-02","Positive","POST /users","",""
"","175","Successful get user","API","2026-09-02","passed","2026-09-02","Positive","GET /users{user_id}","",""
"","26","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","81","Successful create user","API","2026-09-02","passed","2026-09-02","Positive","POST /users","",""
"","50","Successful create user","API","2026-09-02","passed","2026-09-02","Positive","POST /users","",""
"","51","Successful create user","API","2026-09-02","passed","2026-09-02","Positive","POST /users","",""
"","23","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","70","Successful create user","API","2026-09-02","passed","2026-09-02","Positive","POST /users","",""
