"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","141","Successful get user","API","2026-09-02","passed","2026-09-02","Positive","GET /users{user_id}","",""
"","43","Successful create user","API","2026-09-02","passed","2026-09-02","Positive","POST /users","",""
"","146","Get user with invalid user id","API","2026-09-02","passed","2026-09-02","Negative","GET /users{user_id}","",""
"","17","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","71","Successful create user","API","2026-09-02","passed","2026-09-02","Positive","POST /users","",""
"","93","Successful create user","API","2026-09-02","passed","2026-09-02","Positive","POST /users","",""
"","47","Successful create user","API","2026-09-02","passed","2026-09-02","Positive","POST /users","",""
"","45","Successful create user","API","2026-09-02","passed","2026-09-02","Positive","POST /users","",""
"","19","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","21","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","19","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","17","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","20","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
