"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","126","Successful create user","API","2026-09-02","passed","2026-09-02","Positive","POST /users","",""
"","40","Successful create user","API","2026-09-02","passed","2026-09-02","Positive","POST /users","",""
"","58","Successful create user","API","2026-09-02","passed","2026-09-02","Positive","POST /users","",""
"","27","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","20","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","112","Successful create user","API","2026-09-02","passed","2026-09-02","Positive","POST /users","",""
"","20","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","46","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","64","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","69","Successful create user","API","2026-09-02","passed","2026-09-02","Positive","POST /users","",""
"","60","Get user with invalid user id","API","2026-09-02","passed","2026-09-02","Negative","GET /users{user_id}","",""
"","35","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","194","Successful get user","API","2026-09-02","passed","2026-09-02","Positive","GET /users{user_id}","",""
