"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","25","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","21","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","25","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","68","Successful create user","API","2026-09-02","passed","2026-09-02","Positive","POST /users","",""
"","204","Get user with invalid user id","API","2026-09-02","passed","2026-09-02","Negative","GET /users{user_id}","",""
"","361","Successful get user","API","2026-09-02","passed","2026-09-02","Positive","GET /users{user_id}","",""
"","80","Successful create user","API","2026-09-02","passed","2026-09-02","Positive","POST /users","",""
"","100","Successful create user","API","2026-09-02","passed","2026-09-02","Positive","POST /users","",""
"","23","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","35","Successful create user","API","2026-09-02","passed","2026-09-02","Positive","POST /users","",""
"","38","Successful create user","API","2026-09-02","passed","2026-09-02","Positive","POST /users","",""
"","24","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
