"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14","Create user with invalid email","API","2026-08-26","passed","2026-08-26","Negative","POST /users","",""
"","117","Successful create user","API","2026-08-26","failed","2026-08-26","Positive","POST /users","",""
"","101","Successful create user","API","2026-08-26","failed","2026-08-26","Positive","POST /users","",""
"","9","Create user with invalid email","API","2026-08-26","passed","2026-08-26","Negative","POST /users","",""
"","113","Successful create user","API","2026-08-26","failed","2026-08-26","Positive","POST /users","",""
"","10","Create user with invalid email","API","2026-08-26","passed","2026-08-26","Negative","POST /users","",""
"","11","Create user with invalid email","API","2026-08-26","passed","2026-08-26","Negative","POST /users","",""
"","11","Create user with invalid email","API","2026-08-26","passed","2026-08-26","Negative","POST /users","",""
"","9","Create user with invalid email","API","2026-08-26","passed","2026-08-26","Negative","POST /users","",""
"","129","Get user with invalid user id","API","2026-08-26","failed","2026-08-26","Negative","GET /users{user_id}","",""
"","107","Successful create user","API","2026-08-26","failed","2026-08-26","Positive","POST /users","",""
"","78","Successful create user","API","2026-08-26","failed","2026-08-26","Positive","POST /users","",""
"","126","Successful get user","API","2026-08-26","passed","2026-08-26","Positive","GET /users{user_id}","",""
