"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","42","Create user with invalid email","API","2026-09-06","passed","2026-09-06","Negative","POST /users","",""
"","96","Get user with invalid user id","API","2026-09-06","passed","2026-09-06","Negative","GET /users{user_id}","",""
"","76","Successful create user","API","2026-09-06","passed","2026-09-06","Positive","POST /users","",""
"","149","Successful create user","API","2026-09-06","passed","2026-09-06","Positive","POST /users","",""
"","35","Create user with invalid email","API","2026-09-06","passed","2026-09-06","Negative","POST /users","",""
"","57","Successful create user","API","2026-09-06","passed","2026-09-06","Positive","POST /users","",""
"","21","Create user with invalid email","API","2026-09-06","passed","2026-09-06","Negative","POST /users","",""
"","167","Successful create user","API","2026-09-06","passed","2026-09-06","Positive","POST /users","",""
"","62","Successful create user","API","2026-09-06","passed","2026-09-06","Positive","POST /users","",""
"","144","Successful get user","API","2026-09-06","passed","2026-09-06","Positive","GET /users{user_id}","",""
"","39","Create user with invalid email","API","2026-09-06","passed","2026-09-06","Negative","POST /users","",""
"","40","Create user with invalid email","API","2026-09-06","passed","2026-09-06","Negative","POST /users","",""
"","40","Create user with invalid email","API","2026-09-06","passed","2026-09-06","Negative","POST /users","",""
