"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","153","Get user with invalid user id","API","2026-09-02","passed","2026-09-02","Negative","GET /users{user_id}","",""
"","37","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","104","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","44","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","41","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","179","Successful create user","API","2026-09-02","passed","2026-09-02","Positive","POST /users","",""
"","69","Successful create user","API","2026-09-02","passed","2026-09-02","Positive","POST /users","",""
"","64","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","60","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","114","Successful create user","API","2026-09-02","passed","2026-09-02","Positive","POST /users","",""
"","82","Successful get user","API","2026-09-02","passed","2026-09-02","Positive","GET /users{user_id}","",""
"","44","Successful create user","API","2026-09-02","passed","2026-09-02","Positive","POST /users","",""
"","92","Successful create user","API","2026-09-02","passed","2026-09-02","Positive","POST /users","",""
