"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","79","Successful create user","API","2026-09-02","passed","2026-09-02","Positive","POST /users","",""
"","72","Successful get user","API","2026-09-02","passed","2026-09-02","Positive","GET /users{user_id}","",""
"","17","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","161","Successful create user","API","2026-09-02","passed","2026-09-02","Positive","POST /users","",""
"","111","Get user with invalid user id","API","2026-09-02","passed","2026-09-02","Negative","GET /users{user_id}","",""
"","16","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","16","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","46","Successful create user","API","2026-09-02","passed","2026-09-02","Positive","POST /users","",""
"","40","Successful create user","API","2026-09-02","passed","2026-09-02","Positive","POST /users","",""
"","19","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","44","Successful create user","API","2026-09-02","passed","2026-09-02","Positive","POST /users","",""
"","17","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
