"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","124","Successful create user","API","2026-08-31","passed","2026-08-31","Positive","POST /users","",""
"","23","Create user with invalid email","API","2026-08-31","passed","2026-08-31","Negative","POST /users","",""
"","125","Successful create user","API","2026-08-31","passed","2026-08-31","Positive","POST /users","",""
"","120","Successful create user","API","2026-08-31","passed","2026-08-31","Positive","POST /users","",""
"","47","Create user with invalid email","API","2026-08-31","passed","2026-08-31","Negative","POST /users","",""
"","108","Successful create user","API","2026-08-31","passed","2026-08-31","Positive","POST /users","",""
"","22","Create user with invalid email","API","2026-08-31","passed","2026-08-31","Negative","POST /users","",""
"","20","Create user with invalid email","API","2026-08-31","passed","2026-08-31","Negative","POST /users","",""
"","20","Create user with invalid email","API","2026-08-31","passed","2026-08-31","Negative","POST /users","",""
"","40","Create user with invalid email","API","2026-08-31","passed","2026-08-31","Negative","POST /users","",""
"","39","Successful create user","API","2026-08-31","passed","2026-08-31","Positive","POST /users","",""
"","73","Get user with invalid user id","API","2026-08-31","passed","2026-08-31","Negative","GET /users{user_id}","",""
"","93","Successful get user","API","2026-08-31","passed","2026-08-31","Positive","GET /users{user_id}","",""
