"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","99","Successful create user","API","2026-09-02","passed","2026-09-02","Positive","POST /users","",""
"","108","Get user with invalid user id","API","2026-09-02","passed","2026-09-02","Negative","GET /users{user_id}","",""
"","149","Successful create user","API","2026-09-02","passed","2026-09-02","Positive","POST /users","",""
"","110","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","58","Successful create user","API","2026-09-02","passed","2026-09-02","Positive","POST /users","",""
"","72","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","39","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","112","Successful create user","API","2026-09-02","passed","2026-09-02","Positive","POST /users","",""
"","109","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","31","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","171","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","84","Successful create user","API","2026-09-02","passed","2026-09-02","Positive","POST /users","",""
"","161","Successful get user","API","2026-09-02","passed","2026-09-02","Positive","GET /users{user_id}","",""
