"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21","Create user with invalid email","API","2026-09-17","passed","2026-09-17","Negative","POST /users","",""
"","227","Get user with invalid user id","API","2026-09-17","passed","2026-09-17","Negative","GET /users{user_id}","",""
"","22","Create user with invalid email","API","2026-09-17","passed","2026-09-17","Negative","POST /users","",""
"","42","Successful create user","API","2026-09-17","passed","2026-09-17","Positive","POST /users","",""
"","145","Successful create user","API","2026-09-17","passed","2026-09-17","Positive","POST /users","",""
"","96","Successful create user","API","2026-09-17","passed","2026-09-17","Positive","POST /users","",""
"","80","Successful get user","API","2026-09-17","passed","2026-09-17","Positive","GET /users{user_id}","",""
"","45","Successful create user","API","2026-09-17","passed","2026-09-17","Positive","POST /users","",""
"","43","Create user with invalid email","API","2026-09-17","passed","2026-09-17","Negative","POST /users","",""
"","21","Create user with invalid email","API","2026-09-17","passed","2026-09-17","Negative","POST /users","",""
"","27","Create user with invalid email","API","2026-09-17","passed","2026-09-17","Negative","POST /users","",""
"","23","Create user with invalid email","API","2026-09-17","passed","2026-09-17","Negative","POST /users","",""
"","53","Successful create user","API","2026-09-17","passed","2026-09-17","Positive","POST /users","",""
