"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","49","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","58","Get user with invalid user id","API","2026-09-02","passed","2026-09-02","Negative","GET /users{user_id}","",""
"","44","Successful create user","API","2026-09-02","passed","2026-09-02","Positive","POST /users","",""
"","198","Successful get user","API","2026-09-02","passed","2026-09-02","Positive","GET /users{user_id}","",""
"","135","Successful create user","API","2026-09-02","passed","2026-09-02","Positive","POST /users","",""
"","42","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","149","Successful create user","API","2026-09-02","passed","2026-09-02","Positive","POST /users","",""
"","31","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","56","Successful create user","API","2026-09-02","passed","2026-09-02","Positive","POST /users","",""
"","18","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","18","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","73","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","42","Successful create user","API","2026-09-02","passed","2026-09-02","Positive","POST /users","",""
