"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","53","Successful create user","API","2026-09-16","passed","2026-09-16","Positive","POST /users","",""
"","31","Successful create user","API","2026-09-16","passed","2026-09-16","Positive","POST /users","",""
"","18","Create user with invalid email","API","2026-09-16","passed","2026-09-16","Negative","POST /users","",""
"","64","Successful create user","API","2026-09-16","passed","2026-09-16","Positive","POST /users","",""
"","28","Create user with invalid email","API","2026-09-16","passed","2026-09-16","Negative","POST /users","",""
"","66","Successful get user","API","2026-09-16","passed","2026-09-16","Positive","GET /users{user_id}","",""
"","15","Create user with invalid email","API","2026-09-16","passed","2026-09-16","Negative","POST /users","",""
"","20","Create user with invalid email","API","2026-09-16","passed","2026-09-16","Negative","POST /users","",""
"","102","Successful create user","API","2026-09-16","passed","2026-09-16","Positive","POST /users","",""
"","42","Successful create user","API","2026-09-16","passed","2026-09-16","Positive","POST /users","",""
"","90","Get user with invalid user id","API","2026-09-16","passed","2026-09-16","Negative","GET /users{user_id}","",""
"","15","Create user with invalid email","API","2026-09-16","passed","2026-09-16","Negative","POST /users","",""
"","14","Create user with invalid email","API","2026-09-16","passed","2026-09-16","Negative","POST /users","",""
