"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","48","Successful create user","API","2026-09-22","passed","2026-09-22","Positive","POST /users","",""
"","18","Create user with invalid email","API","2026-09-22","passed","2026-09-22","Negative","POST /users","",""
"","15","Create user with invalid email","API","2026-09-22","passed","2026-09-22","Negative","POST /users","",""
"","38","Successful create user","API","2026-09-22","passed","2026-09-22","Positive","POST /users","",""
"","74","Get user with invalid user id","API","2026-09-22","passed","2026-09-22","Negative","GET /users{user_id}","",""
"","34","Successful create user","API","2026-09-22","passed","2026-09-22","Positive","POST /users","",""
"","30","Successful create user","API","2026-09-22","passed","2026-09-22","Positive","POST /users","",""
"","23","Create user with invalid email","API","2026-09-22","passed","2026-09-22","Negative","POST /users","",""
"","18","Create user with invalid email","API","2026-09-22","passed","2026-09-22","Negative","POST /users","",""
"","20","Create user with invalid email","API","2026-09-22","passed","2026-09-22","Negative","POST /users","",""
"","64","Create user with invalid email","API","2026-09-22","passed","2026-09-22","Negative","POST /users","",""
"","99","Successful create user","API","2026-09-22","passed","2026-09-22","Positive","POST /users","",""
"","142","Successful get user","API","2026-09-22","passed","2026-09-22","Positive","GET /users{user_id}","",""
