"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17","Create user with invalid email","API","2026-08-26","passed","2026-08-26","Negative","POST /users","",""
"","148","Successful get user","API","2026-08-26","passed","2026-08-26","Positive","GET /users{user_id}","",""
"","11","Create user with invalid email","API","2026-08-26","passed","2026-08-26","Negative","POST /users","",""
"","106","Successful create user","API","2026-08-26","failed","2026-08-26","Positive","POST /users","",""
"","105","Successful create user","API","2026-08-26","failed","2026-08-26","Positive","POST /users","",""
"","105","Successful create user","API","2026-08-26","failed","2026-08-26","Positive","POST /users","",""
"","104","Successful create user","API","2026-08-26","failed","2026-08-26","Positive","POST /users","",""
"","10","Create user with invalid email","API","2026-08-26","passed","2026-08-26","Negative","POST /users","",""
"","15","Create user with invalid email","API","2026-08-26","passed","2026-08-26","Negative","POST /users","",""
"","10","Create user with invalid email","API","2026-08-26","passed","2026-08-26","Negative","POST /users","",""
"","101","Successful create user","API","2026-08-26","failed","2026-08-26","Positive","POST /users","",""
"","114","Get user with invalid user id","API","2026-08-26","failed","2026-08-26","Negative","GET /users{user_id}","",""
"","11","Create user with invalid email","API","2026-08-26","passed","2026-08-26","Negative","POST /users","",""
