"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","73","Create user with invalid email","API","2026-09-18","passed","2026-09-18","Negative","POST /users","",""
"","36","Successful create user","API","2026-09-18","passed","2026-09-18","Positive","POST /users","",""
"","92","Successful get user","API","2026-09-18","passed","2026-09-18","Positive","GET /users{user_id}","",""
"","21","Create user with invalid email","API","2026-09-18","passed","2026-09-18","Negative","POST /users","",""
"","131","Successful create user","API","2026-09-18","passed","2026-09-18","Positive","POST /users","",""
"","23","Create user with invalid email","API","2026-09-18","passed","2026-09-18","Negative","POST /users","",""
"","201","Get user with invalid user id","API","2026-09-18","passed","2026-09-18","Negative","GET /users{user_id}","",""
"","39","Successful create user","API","2026-09-18","passed","2026-09-18","Positive","POST /users","",""
"","21","Create user with invalid email","API","2026-09-18","passed","2026-09-18","Negative","POST /users","",""
"","32","Create user with invalid email","API","2026-09-18","passed","2026-09-18","Negative","POST /users","",""
"","21","Create user with invalid email","API","2026-09-18","passed","2026-09-18","Negative","POST /users","",""
"","41","Successful create user","API","2026-09-18","passed","2026-09-18","Positive","POST /users","",""
"","184","Successful create user","API","2026-09-18","passed","2026-09-18","Positive","POST /users","",""
