"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11","Create user with invalid email","API","2026-09-25","passed","2026-09-25","Negative","POST /users","",""
"","37","Successful create user","API","2026-09-25","passed","2026-09-25","Positive","POST /users","",""
"","38","Successful create user","API","2026-09-25","passed","2026-09-25","Positive","POST /users","",""
"","139","Successful get user","API","2026-09-25","passed","2026-09-25","Positive","GET /users{user_id}","",""
"","74","Successful create user","API","2026-09-25","passed","2026-09-25","Positive","POST /users","",""
"","22","Create user with invalid email","API","2026-09-25","passed","2026-09-25","Negative","POST /users","",""
"","13","Create user with invalid email","API","2026-09-25","passed","2026-09-25","Negative","POST /users","",""
"","41","Successful create user","API","2026-09-25","passed","2026-09-25","Positive","POST /users","",""
"","11","Create user with invalid email","API","2026-09-25","passed","2026-09-25","Negative","POST /users","",""
"","118","Successful create user","API","2026-09-25","passed","2026-09-25","Positive","POST /users","",""
"","32","Create user with invalid email","API","2026-09-25","passed","2026-09-25","Negative","POST /users","",""
"","12","Create user with invalid email","API","2026-09-25","passed","2026-09-25","Negative","POST /users","",""
"","107","Get user with invalid user id","API","2026-09-25","passed","2026-09-25","Negative","GET /users{user_id}","",""
